table_name,column_name,dw_column_name,rule,num_distinct,percent_nulls
ESTADOS,UF_UNI_ORIGEM,UF_UNI_ORIGEM,,27,0.00
ESTADOS,UF,UF,,27,0.25
ESTADOS,UF_CORRESP,UF_CORRESP,ESTC.SIGLA,27,0.39
ESTADOS,UF_RG,UF_RG,,31,0.86
PAISES,NACIONALIDADE,NACIONALIDADE,,92,0.35
PAISES,PAIS_RG,PAIS_RG,,146,0.54
SAM_BENEFICIARIO,CODIGO_AFINIDADE,CODIGO_AFINIDADE,BEN.CODIGODEAFINIDADE,4964864,0.00
SAM_BENEFICIARIO,DIAS_COMPRA_CARENCIA,DIAS_COMPRA_CARENCIA,BEN.DIASCOMPRACARENCIA,1736,0.00
SAM_BENEFICIARIO,ORIGEM,ORIGEM,"DECODE(BEN.TABORIGEM, 1,'Próprio',2,'Assumido',3,'Assumido-Eventual')",3,0.00
SAM_BENEFICIARIO,DATA_PRIM_ADESAO_BENEF,DATA_PRIM_ADESAO_BENEF,BEN.DATAPRIMEIRAADESAO,13328,0.00
SAM_BENEFICIARIO,CODIGO_ORIGEM,CODIGO_ORIGEM,BEN.CODIGODEORIGEM,5009920,0.00
SAM_BENEFICIARIO,CODIGO_BENEFICIARIO,CODIGO_BENEFICIARIO,BEN.BENEFICIARIO,5024768,0.00
SAM_BENEFICIARIO,CODIGO_UNI_PAG,CODIGO_UNI_PAG,"SUBSTR(BEN.BENEFICIARIO,1,4)",424,0.00
SAM_BENEFICIARIO,ID_BENEFICIARIO,ID_BENEFICIARIO,,5107355,0.00
SAM_BENEFICIARIO,BENEFICIARIO,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))",3124480,0.00
SAM_BENEFICIARIO,NAO_TEM_CARENCIA,NAO_TEM_CARENCIA,"DECODE(BEN.NAOTEMCARENCIA, 'S','Sim','N','Não')",2,0.00
SAM_BENEFICIARIO,DATA_ADESAO,DATA_ADESAO,BEN.DATAADESAO,13124,0.00
SAM_BENEFICIARIO,MOTIVO_INCLUSAO,MOTIVO_INCLUSAO,CASE WHEN BEN.MOTIVOINCLUSAO = 5 THEN 'Novo beneficiário' WHEN BEN.MOTIVOINCLUSAO = 6 THEN 'Transferência voluntária de carteira' WHEN BEN.MOTIVOINCLUSAO = 7 THEN 'Transferência compulsória de carteira' ELSE NULL END,3,0.05
SAM_BENEFICIARIO,DATA_CANCELAMENTO,DATA_CANCELAMENTO,CASE WHEN BEN.DATACANCELAMENTO < SYSDATE THEN BEN.DATACANCELAMENTO WHEN MCAN.CODIGO = 101 AND (BEN.TABORIGEM = 3 OR (BEN.TABORIGEM = 2 AND CON.ESPELHO = 'S')) THEN NULL ELSE BEN.DATACANCELAMENTO END,13336,0.18
SAM_BENEFICIARIO,MOTIVO_CANC,MOTIVO_CANC,,73,0.18
SAM_BENEFICIARIO,SEQUENCIA,SEQUENCIA,BEN.SEQUENCIA,3552240,0.30
SAM_BENEFICIARIO,COD_BENEFICIARIO_ANS,COD_BENEFICIARIO_ANS,BEN.CODIGOANS,3327744,0.30
SAM_BENEFICIARIO,SOFREU_ADAPTACAO,SOFREU_ADAPTACAO,"DECODE(BEN.SOFREUADAPTACAO, 1,'Não',2,'Sim')",2,0.34
SAM_BENEFICIARIO,CCO,CCO,BEN.CCO,3054592,0.36
SAM_BENEFICIARIO,CCO_DV,CCO_DV,BEN.CCODV,101,0.36
SAM_BENEFICIARIO,MATRIC_BEN_EMPRESA,MATRIC_BEN_EMPRESA,"CASE WHEN CON.CONTRATO = 53478 AND TPDEP.DESCRICAO = 'Titular' THEN LPAD(BEN.MATRICULAFUNCIONAL,6,0) ELSE BEN.MATRICULAFUNCIONAL END",344320,0.69
SAM_BENEFICIARIO,ORIGEM_CARENCIA,ORIGEM_CARENCIA,(SELECT OCA.DESCRICAO FROM SAM_CONTRATO_ORIGEMCARENCIA COC JOIN SAM_ORIGEMCARENCIA OCA ON (OCA.HANDLE = COC.ORIGEMCARENCIA) WHERE COC.HANDLE = BEN.ORIGEMCARENCIA),2,0.74
SAM_BENEFICIARIO,DATA_ATENDIMENTO_ATE,DATA_ATENDIMENTO_ATE,BEN.ATENDIMENTOATE,9384,0.76
SAM_BENEFICIARIO,EMAIL,EMAIL,BEN.EMAIL,584768,0.84
SAM_BENEFICIARIO,DATA_ULTIMA_ATU_CADASTRAL,DATA_ULTIMA_ATU_CADASTRAL,BEN.DATAULTIMAATUCADASTRAL,24410,0.88
SAM_BENEFICIARIO,K_TELEFONE2_ZENITE,K_TELEFONE2_ZENITE,BEN.K_TELEFONE2,79752,0.98
SAM_BENEFICIARIO,K_TELEFONE1_ZENITE,K_TELEFONE1_ZENITE,BEN.K_TELEFONE1,113872,0.98
SAM_BENEFICIARIO,DATA_ADAPTACAO,DATA_ADAPTACAO,BEN.DATAADAPTACAO,2924,0.99
SAM_BENEFICIARIO,IDADE_ADAPTACAO,IDADE_ADAPTACAO,BEN.IDADEADAPTACAO,79,0.99
SAM_BENEFICIARIO,K_EMAIL_IW,K_EMAIL_IW,BEN.K_EMAILIW,13585,1.00
SAM_BENEFICIARIO,K_EMAIL_IRIS,K_EMAIL_IRIS,BEN.K_EMAILIRIS,5420,1.00
SAM_BENEFICIARIO,K_EMAIL_SAC,K_EMAIL_SAC,BEN.K_EMAILSAC,105,1.00
SAM_BENEFICIARIO,K_TELEFONE_RES_SAC,K_TELEFONE_RES_SAC,BEN.K_TELEFONERESSAC,233,1.00
SAM_BENEFICIARIO,K_TELEFONE_CONTATO_SAC,K_TELEFONE_CONTATO_SAC,BEN.K_TELEFONECONTATOSAC,86,1.00
SAM_BENEFICIARIO,K_TELEFONE3_IW,K_TELEFONE3_IW,BEN.K_TELEFONE3IW,2591,1.00
SAM_BENEFICIARIO,K_TELEFONE2_IW,K_TELEFONE2_IW,BEN.K_TELEFONE2IW,12982,1.00
SAM_BENEFICIARIO,K_EMAIL_ZENITE,K_EMAIL_ZENITE,BEN.K_EMAIL,5217,1.00
SAM_BENEFICIARIO,K_TELEFONE1_IW,K_TELEFONE1_IW,BEN.K_TELEFONE1IW,16318,1.00
SAM_BENEFICIARIO,K_TELEFONE4_IW,K_TELEFONE4_IW,BEN.K_TELEFONE4IW,6929,1.00
SAM_BENEFICIARIO,K_TELEFONE_CELULAR_SAC,K_TELEFONE_CELULAR_SAC,BEN.K_CELULARSAC,382,1.00
SAM_BENEFICIARIO,BLOQUEAR_RECAD_BIO_AUT_WEB,BLOQUEAR_RECAD_BIO_AUT_WEB,"DECODE(BEN.BLOQUEIARECADBIOAUTORIZADORWEB,'S','Sim','N','Não')",2,1.00
SAM_BENEFICIARIO_CARTAOIDENTIF,TIPO_CARTAO,TIPO_CARTAO,CARTIDENTIF.TIPO_CARTAO,11,0.32
SAM_BENEFICIARIO_CARTAOIDENTIF,DV_CARTAO_BENEF,DV_CARTAO_BENEF,CARTIDENTIF.DV,10,0.32
SAM_BENEFICIARIO_CARTAOIDENTIF,SITUACAO_CARTAO,SITUACAO_CARTAO,CARTIDENTIF.SITUACAO_CARTAO,3,0.32
SAM_BENEFICIARIO_CARTAOIDENTIF,VIA_CARTAO,VIA_CARTAO,CARTIDENTIF.VIA_CARTAO,61,0.32
SAM_BENEFICIARIO_CARTAOIDENTIF,DATA_VALID_CARTEIRA,DATA_VALID_CARTEIRA,CARTIDENTIF.DATA_VALID_CARTEIRA,10328,0.32
SAM_BENEFICIARIO_CARTAOIDENTIF,DATA_INICIAL_VALIDADE,DATA_INICIAL_VALIDADE,CARTIDENTIF.DATA_INICIAL_VALIDADE,24456,0.32
SAM_BENEFICIARIO_CARTAOIDENTIF,DATA_FINAL_VALIDADE,DATA_FINAL_VALIDADE,CARTIDENTIF.DATA_FINAL_VALIDADE,10328,0.32
SAM_BENEFICIARIO_CARTAOIDENTIF,DATA_GERAC_CARTEIRA,DATA_GERAC_CARTEIRA,CARTIDENTIF.DATA_GERAC_CARTEIRA,686208,0.32
SAM_BENEFICIARIO_CARTAOIDENTIF,DATA_EMISS_CARTEIRA,DATA_EMISS_CARTEIRA,CARTIDENTIF.DATA_EMISS_CARTEIRA,115888,0.35
