column_name,colum_name_renamed,origem,table_name,table_alias,column_name_1,column_name_2,alias,rule
BAIRRO,BAIRRO,beneficiario,SAM_ENDERECO,ENDC,BAIRRO,,,
BAIRRO,BAIRRO,beneficiario,SAM_ENDERECO,ENDR,BAIRRO,,,
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO,BEN,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_MOD,SBMO1,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_HISTORICO,BHI,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_HISTORICO,BHI2,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_CARTAOIDENTIF,BC,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_CARTAOIDENTIF,BCI,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_EVENTO,EVE,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_PATOLOGIA,PAT,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_MOD,SBMO2,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_CID,CID,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_CARTAOIDENTIF,BCI2,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_CID,CID,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_MOD,BENMODI2,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_HISTORICO,BHI3,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_MOD,SBMO2,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_CARTAOIDENTIF,BC,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_MOD,BENMODI,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_MOD,BENMODI2,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_PATOLOGIA,PAT,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO,BEN,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_HISTORICO,BHI2,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_HISTORICO,BHI,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_MOD,SBMO1,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_CARTAOIDENTIF,BCI2,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_MOD,BENMODI,BENEFICIARIO,Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_HISTORICO,BHI3,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_CARTAOIDENTIF,BCI,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BENEFICIARIO,BENEFICIARIO,beneficiario,SAM_BENEFICIARIO_EVENTO,EVE,BENEFICIARIO,NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
CCO,CCO,beneficiario,SAM_BENEFICIARIO,BEN,CCO,,,
CEP,CEP,beneficiario,SAM_ENDERECO,ENDC,CEP,,,
CEP,CEP,beneficiario,SAM_ENDERECO,ENDR,CEP,,,
COMPLEMENTO,COMPLEMENTO,beneficiario,SAM_ENDERECO,ENDR,COMPLEMENTO,,,
COMPLEMENTO,COMPLEMENTO,beneficiario,SAM_ENDERECO,ENDC,COMPLEMENTO,,,
CONTRATANTE,CONTRATANTE,beneficiario,SAM_CONTRATO,CON,CONTRATANTE,,,
DNV,DNV,beneficiario,SAM_MATRICULA,MAT,DNV,,,
EMAIL,EMAIL,beneficiario,SAM_BENEFICIARIO,BEN,EMAIL,RA_EMAIL,EMAIL,TRIM
INTERCAMBIO,INTERCAMBIO,beneficiario,SAM_CONTRATO,CON,INTERCAMBIO,INTERCAMBIO,INTERCAMBIO,CASE WHEN CON.INTERCAMBIO = 1 THEN 'Sim' WHEN CON.INTERCAMBIO = 2 THEN 'Não' END
LOTACAO,LOTACAO,beneficiario,SAM_FAMILIA,FAM,LOTACAO,,,
NUMERO,NUMERO,beneficiario,SAM_ENDERECO,ENDR,NUMERO,,,
NUMERO,NUMERO,beneficiario,SAM_ENDERECO,ENDC,NUMERO,,,
NUMERO,NUMERO,beneficiario,SFN_FATURA,FAT,NUMERO,,,
ORIGEM,ORIGEM,beneficiario,SAM_BENEFICIARIO_HISTORICO,BHI2,ORIGEM,TABORIGEM,ORIGEM,"DECODE(BEN.TABORIGEM, 1,'Próprio',2,'Assumido',3,'Assumido-Eventual')"
ORIGEM,ORIGEM,beneficiario,SAM_BENEFICIARIO_HISTORICO,BHI3,ORIGEM,TABORIGEM,ORIGEM,"DECODE(BEN.TABORIGEM, 1,'Próprio',2,'Assumido',3,'Assumido-Eventual')"
PISPASEP,PISPASEP,beneficiario,SAM_MATRICULA,MAT,PISPASEP,,,
SEQUENCIA,SEQUENCIA,beneficiario,SAM_BENEFICIARIO,BEN,SEQUENCIA,,,
SEXO,SEXO,beneficiario,SAM_MATRICULA,MAT,SEXO,,,
UNI_ORIGEM_CAMARA_COMPENSACAO,UNI_ORIGEM_CAMARA_COMPENSACAO,,,,,DESCRICAO,UNI_ORIGEM_CAMARA_COMPENSACAO,CASE WHEN UNIO.HANDLE IS NULL THEN 'Estadual' WHEN CAMCOM.DESCRICAO IS NULL THEN 'Sem Informação' ELSE CAMCOM.DESCRICAO END
UNI_ORIGEM,UNI_ORIGEM,,,,,CODIGO,UNI_ORIGEM,"NVL(UNIO.CODIGO,'0032')"
CBO,CBO,,,,,DESCRICAO,CBO,CBO.ESTRUTURA||' - '||CBO.DESCRICAO
DATA_FINAL_TETO_COBRANCA,DATA_FINAL_TETO_COBRANCA,,,,,DATAFINAL,DATA_FINAL_TETO_COBRANCA,NULL
TELEFONE2_CORRESP,TELEFONE2_CORRESP,,,,,NUMERO2,TELEFONE2_CORRESP,'('||ENDC.DDD2||') '||ENDC.PREFIXO2||'-'||ENDC.NUMERO2
CELULAR_CORRESP,CELULAR_CORRESP,,,,,NUMEROCELULAR,CELULAR_CORRESP,'('||ENDC.DDDCELULAR||') '||ENDC.PREFIXOCELULAR||'-'||ENDC.NUMEROCELULAR
SETOR_UNIMED,SETOR_UNIMED,,,,,CTT_DESC01,SETOR_UNIMED,TRIM
SOFREU_ADAPTACAO,SOFREU_ADAPTACAO,,,,,SOFREUADAPTACAO,SOFREU_ADAPTACAO,"DECODE(BEN.SOFREUADAPTACAO, 1,'Não',2,'Sim')"
CBO,CBO,,,,,ESTRUTURA,CBO,CBO.ESTRUTURA||' - '||CBO.DESCRICAO
MATRIC_BEN_EMPRESA,MATRIC_BEN_EMPRESA,,,,,CONTRATO,MATRIC_BEN_EMPRESA,"CASE WHEN CON.CONTRATO = 53478 AND TPDEP.DESCRICAO = 'Titular' THEN LPAD(BEN.MATRICULAFUNCIONAL,6,0) ELSE BEN.MATRICULAFUNCIONAL END"
