table_name,alias,column_name,column_alias
SAM_BENEFICIARIO,BEN,HANDLE,ID_BENEFICIARIO
SAM_BENEFICIARIO,BEN,BENEFICIARIO,CODIGO_BENEFICIARIO
SAM_BENEFICIARIO,BEN,CODIGODEAFINIDADE,CODIGO_AFINIDADE
SAM_BENEFICIARIO,BEN,CODIGODEORIGEM,CODIGO_ORIGEM
SAM_BENEFICIARIO,BEN,CODIGOANS,COD_BENEFICIARIO_ANS
SAM_BENEFICIARIO,BEN,DATAADESAO,DATA_ADESAO
SAM_BENEFICIARIO,BEN,DATAPRIMEIRAADESAO,DATA_PRIM_ADESAO_BENEF
SAM_BENEFICIARIO,BEN,ATENDIMENTOATE,DATA_ATENDIMENTO_ATE
SAM_BENEFICIARIO,BEN,DATAULTIMAATUCADASTRAL,DATA_ULTIMA_ATU_CADASTRAL
SAM_BENEFICIARIO,BEN,DATAADAPTACAO,DATA_ADAPTACAO
SAM_BENEFICIARIO,BEN,IDADEADAPTACAO,IDADE_ADAPTACAO
SAM_BENEFICIARIO,BEN,DIASCOMPRACARENCIA,DIAS_COMPRA_CARENCIA
SAM_BENEFICIARIO,BEN,EMAIL,EMAIL
SAM_BENEFICIARIO,BEN,SEQUENCIA,SEQUENCIA
SAM_BENEFICIARIO,BEN,CCO,CCO
SAM_BENEFICIARIO,BEN,CCODV,CCO_DV
SAM_BENEFICIARIO,BEN,K_EMAIL,K_EMAIL_ZENITE
SAM_BENEFICIARIO,BEN,K_TELEFONE1,K_TELEFONE1_ZENITE
SAM_BENEFICIARIO,BEN,K_TELEFONE2,K_TELEFONE2_ZENITE
SAM_BENEFICIARIO,BEN,K_EMAILIRIS,K_EMAIL_IRIS
SAM_BENEFICIARIO,BEN,K_EMAILIW,K_EMAIL_IW
SAM_BENEFICIARIO,BEN,K_TELEFONE1IW,K_TELEFONE1_IW
SAM_BENEFICIARIO,BEN,K_TELEFONE2IW,K_TELEFONE2_IW
SAM_BENEFICIARIO,BEN,K_TELEFONE3IW,K_TELEFONE3_IW
SAM_BENEFICIARIO,BEN,K_TELEFONE4IW,K_TELEFONE4_IW
SAM_BENEFICIARIO,BEN,K_EMAILSAC,K_EMAIL_SAC
SAM_BENEFICIARIO,BEN,K_TELEFONERESSAC,K_TELEFONE_RES_SAC
SAM_BENEFICIARIO,BEN,K_TELEFONECONTATOSAC,K_TELEFONE_CONTATO_SAC
SAM_BENEFICIARIO,BEN,K_CELULARSAC,K_TELEFONE_CELULAR_SAC
SAM_BENEFICIARIO,BEN,Z_NOME,BENEFICIARIO
SAM_BENEFICIARIO,BEN,NAOTEMCARENCIA,NAO_TEM_CARENCIA
SAM_BENEFICIARIO,BEN,SOFREUADAPTACAO,SOFREU_ADAPTACAO
SAM_BENEFICIARIO,BEN,TABORIGEM,ORIGEM
SAM_BENEFICIARIO,BEN,BLOQUEIARECADBIOAUTORIZADORWEB,BLOQUEAR_RECAD_BIO_AUT_WEB
SAM_BENEFICIARIO,BEN,DATACANCELAMENTO,DATA_CANCELAMENTO
SAM_BENEFICIARIO,BEN,MOTIVOCANCELAMENTO,MOTIVO_CANC
SAM_BENEFICIARIO,BEN,MATRICULAFUNCIONAL,MATRIC_BEN_EMPRESA
SAM_BENEFICIARIO,BEN,MOTIVOINCLUSAO,MOTIVO_INCLUSAO
SAM_BENEFICIARIO,BEN,ORIGEMCARENCIA,ORIGEM_CARENCIA
SAM_BENEFICIARIO,BEN,FAMILIA,HANDLE_FAMILIA
SAM_BENEFICIARIO,BEN,CONTRATO,HANDLE_CONTRATO
SAM_BENEFICIARIO,BEN,TITULARRESPONSAVEL,HANDLE_TITULARRESPONSAVEL
SAM_BENEFICIARIO,BEN,PESSOARESPONSAVEL,HANDLE_PESSOARESPONSAVEL
SAM_BENEFICIARIO,BEN,LOTACAO,HANDLE_LOTACAO
SAM_BENEFICIARIO,BEN,LOCALFATURAMENTO,LOCAL_FATURAMENTO
SAM_CONTRATO,CON,HANDLE,ID_CONTRATANTE
SAM_CONTRATO,CON,CONTRATO,CONTRATO
SAM_CONTRATO,CON,CONTRATANTE,CONTRATANTE
SAM_CONTRATO,CON,DATAADESAO,DATA_ADESAO_CONTRATO
SAM_CONTRATO,CON,DATACANCELAMENTO,DATA_CANC_CONTRATO
SAM_CONTRATO,CON,ESPELHO,INTERCAMBIO
SAM_CONTRATO,CON,LOCALFATURAMENTO,LOCAL_FATURAMENTO
SAM_CONTRATO,CON,UNIMEDORIGEM,UNI_ORIGEM
SAM_FAMILIA,FAM,HANDLE,ID_FAMILIA
SAM_FAMILIA,FAM,FAMILIA,CODIGO_FAMILIA
SAM_FAMILIA,FAM,DATAADESAO,DATA_ADESAO_FAMILIA
SAM_FAMILIA,FAM,DATAVENDA,DATA_VENDA_FAMILIA
SAM_FAMILIA,FAM,DATAINICIOINATIVIDADE,DATA_INICIO_INAT_FAMILIA
SAM_FAMILIA,FAM,DATACANCELAMENTO,DATA_CANCELAMENTO_FAMILIA
SAM_FAMILIA,FAM,DATAINCLUSAO,DATA_INCLUSAO_FAMILIA
SAM_FAMILIA,FAM,DATAULTIMOREAJUSTE,DATA_ULTIMO_REAJUSTE_FAMILIA
SAM_FAMILIA,FAM,NUMEROPROPOSTA,NUM_PROPOSTA_FAMILIA
SAM_FAMILIA,FAM,DIACOBRANCA,DIA_COBRANCA
SAM_FAMILIA,FAM,LEIDEMITIDOSAPOSENTADOS,SITUACAO_FAMILIA
SAM_FAMILIA,FAM,COBRANCANOMESSEGUINTE,COBRANCA_MES_SEGUINTE
SAM_FAMILIA,FAM,TITULARRESPONSAVEL,HANDLE_TITULARRESPONSAVEL
SAM_FAMILIA,FAM,PESSOARESPONSAVEL,HANDLE_PESSOARESPONSAVEL
SAM_FAMILIA,FAM,LOTACAO,HANDLE_LOTACAO
SAM_FAMILIA,FAM,USUARIOINCLUSAO,USUARIO_INCLUSAO_FAMILIA
SAM_MATRICULA,MAT,HANDLE,HANDLE_MATRICULA
SAM_MATRICULA,MAT,CPF,CPF_BENEFICIARIO
SAM_MATRICULA,MAT,DATAINGRESSO,DATA_INGRESSO
SAM_MATRICULA,MAT,CARTAONACIONALSAUDE,CARTAO_NACIONAL_SAUDE
