column_name,alias,rule
BENEFICIARIO,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
NAO_TEM_CARENCIA,NAO_TEM_CARENCIA,"DECODE(BEN.NAOTEMCARENCIA, 'S','Sim','N','Não')"
SOFREU_ADAPTACAO,SOFREU_ADAPTACAO,"DECODE(BEN.SOFREUADAPTACAO, 1,'Não',2,'Sim')"
ORIGEM,ORIGEM,"DECODE(BEN.TABORIGEM, 1,'Próprio',2,'Assumido',3,'Assumido-Eventual')"
BLOQUEAR_RECAD_BIO_AUT_WEB,BLOQUEAR_RECAD_BIO_AUT_WEB,"DECODE(BEN.BLOQUEIARECADBIOAUTORIZADORWEB,'S','Sim','N','Não')"
COBRANCA_MES_SEGUINTE,COBRANCA_MES_SEGUINTE,"DECODE(FAM.COBRANCANOMESSEGUINTE,'S','Sim','N','Não')"
DATA_REATIVACAO,DATA_REATIVACAO,"CASE WHEN BEN.DATACANCELAMENTO > REATIVACAO.DATA_REATIVACAO THEN NULL ELSE REATIVACAO.DATA_REATIVACAO END"
DATA_CANCELAMENTO,DATA_CANCELAMENTO,"CASE WHEN BEN.DATACANCELAMENTO < SYSDATE THEN BEN.DATACANCELAMENTO WHEN MCAN.CODIGO = 101 AND (BEN.TABORIGEM = 3 OR (BEN.TABORIGEM = 2 AND CON.ESPELHO = 'S')) THEN NULL ELSE BEN.DATACANCELAMENTO END"
INTERCAMBIO,INTERCAMBIO,"CASE WHEN CON.INTERCAMBIO = 1 THEN 'Sim' WHEN CON.INTERCAMBIO = 2 THEN 'Não' END"
ID_BENEFICIARIO_RESP,ID_BENEFICIARIO_RESP,"(SELECT MAX(BEN_TIT.HANDLE) FROM SAM_BENEFICIARIO BEN_TIT WHERE BEN_TIT.FAMILIA = BEN.FAMILIA AND BEN_TIT.EHTITULAR = 'S')"
ID_RESP_FINANCEIRO,ID_RESP_FINANCEIRO,"CASE WHEN CON.LOCALFATURAMENTO = 'C' THEN CPES.HANDLE WHEN CON.LOCALFATURAMENTO = 'L' THEN LPES.HANDLE WHEN CON.LOCALFATURAMENTO = 'F' THEN CASE WHEN FAM.TITULARRESPONSAVEL IS NOT NULL THEN FBEN.HANDLE WHEN FAM.PESSOARESPONSAVEL IS NOT NULL THEN SFNP.HANDLE END END"
ID_MOTIVO_CANC,ID_MOTIVO_CANC,"CASE WHEN BEN.DATACANCELAMENTO < SYSDATE THEN BEN.MOTIVOCANCELAMENTO WHEN MCAN.CODIGO = 101 AND (BEN.TABORIGEM = 3 OR (BEN.TABORIGEM = 2 AND CON.ESPELHO = 'S')) THEN NULL ELSE BEN.MOTIVOCANCELAMENTO END"
CODIGO_UNI_PAG,CODIGO_UNI_PAG,"SUBSTR(BEN.BENEFICIARIO,1,4)"
CODIGO_AFINIDADE,CODIGO_AFINIDADE,"BEN.CODIGODEAFINIDADE"
CODIGO_ORIGEM,CODIGO_ORIGEM,"BEN.CODIGODEORIGEM"
COD_BENEFICIARIO_ANS,COD_BENEFICIARIO_ANS,"BEN.CODIGOANS"
DATA_ADESAO,DATA_ADESAO,"BEN.DATAADESAO"
DATA_PRIM_ADESAO_BENEF,DATA_PRIM_ADESAO_BENEF,"BEN.DATAPRIMEIRAADESAO"
DATA_ATENDIMENTO_ATE,DATA_ATENDIMENTO_ATE,"BEN.ATENDIMENTOATE"
DATA_ULTIMA_ATU_CADASTRAL,DATA_ULTIMA_ATU_CADASTRAL,"BEN.DATAULTIMAATUCADASTRAL"
DATA_ADAPTACAO,DATA_ADAPTACAO,"BEN.DATAADAPTACAO"
IDADE_ADAPTACAO,IDADE_ADAPTACAO,"BEN.IDADEADAPTACAO"
DIAS_COMPRA_CARENCIA,DIAS_COMPRA_CARENCIA,"BEN.DIASCOMPRACARENCIA"
EMAIL,EMAIL,"BEN.EMAIL"
SEQUENCIA,SEQUENCIA,"BEN.SEQUENCIA"
CCO,CCO,"BEN.CCO"
CCO_DV,CCO_DV,"BEN.CCODV"
K_EMAIL_ZENITE,K_EMAIL_ZENITE,"BEN.K_EMAIL"
K_TELEFONE1_ZENITE,K_TELEFONE1_ZENITE,"BEN.K_TELEFONE1"
K_TELEFONE2_ZENITE,K_TELEFONE2_ZENITE,"BEN.K_TELEFONE2"
K_EMAIL_IRIS,K_EMAIL_IRIS,"BEN.K_EMAILIRIS"
K_EMAIL_IW,K_EMAIL_IW,"BEN.K_EMAILIW"
K_TELEFONE1_IW,K_TELEFONE1_IW,"BEN.K_TELEFONE1IW"
K_TELEFONE2_IW,K_TELEFONE2_IW,"BEN.K_TELEFONE2IW"
K_TELEFONE3_IW,K_TELEFONE3_IW,"BEN.K_TELEFONE3IW"
K_TELEFONE4_IW,K_TELEFONE4_IW,"BEN.K_TELEFONE4IW"
K_EMAIL_SAC,K_EMAIL_SAC,"BEN.K_EMAILSAC"
K_TELEFONE_RES_SAC,K_TELEFONE_RES_SAC,"BEN.K_TELEFONERESSAC"
K_TELEFONE_CONTATO_SAC,K_TELEFONE_CONTATO_SAC,"BEN.K_TELEFONECONTATOSAC"
K_TELEFONE_CELULAR_SAC,K_TELEFONE_CELULAR_SAC,"BEN.K_CELULARSAC"
CODIGO_BENEFICIARIO,CODIGO_BENEFICIARIO,"BEN.BENEFICIARIO"
MATRIC_BEN_EMPRESA,MATRIC_BEN_EMPRESA,"CASE WHEN CON.CONTRATO = 53478 AND TPDEP.DESCRICAO = 'Titular' THEN LPAD(BEN.MATRICULAFUNCIONAL,6,0) ELSE BEN.MATRICULAFUNCIONAL END"
