column_name;colum_name_renamed
ID_BENEFICIARIO;ID_BENEFICIARIO
ID_BENEFICIARIO_RESP;ID_BENEFICIARIO_RESP
ID_CONTRATANTE;ID_CONTRATANTE
ID_CONTRATANTE_LOT;ID_CONTRATANTE_LOT
ID_FAMILIA;ID_FAMILIA
ID_MOTIVO_CANC;ID_MOTIVO_CANC
ID_PLANO;ID_PLANO
ID_RESP_FINANCEIRO;ID_RESP_FINANCEIRO
BAIRRO;BAIRRO
BENEFICIARIO;BENEFICIARIO
CBO;CBO
CEP;CEP
CIDADE;CIDADE
COD_BENEFICIARIO_ANS;COD_BENEFICIARIO_ANS
COD_PAIS_RG_ANS;COD_PAIS_RG_ANS
CODIGO_BENEFICIARIO;CODIGO_BENEFICIARIO
CODIGO_ORIGEM;CODIGO_ORIGEM
CODIGO_FAMILIA;CODIGO_FAMILIA
COD_GRAU_DEPEND_ANS;COD_GRAU_DEPEND_ANS
CODIGO_PLANO;CODIGO_PLANO
CODIGO_UNI_PAG;CODIGO_UNI_PAG
COMPLEMENTO;COMPLEMENTO
CONTRATANTE;CONTRATANTE
CONVENIO;CONVENIO
CPF_BENEFICIARIO;CPF_BENEFICIARIO
CPT;CPT
DATA_INGRESSO;DATA_INGRESSO
DATA_ADESAO;DATA_ADESAO
DATA_ADESAO_CONTRATO;DATA_ADESAO_CONTRATO
DATA_ADESAO_FAMILIA;DATA_ADESAO_FAMILIA
DATA_CANCELAMENTO;DATA_CANCELAMENTO
DATA_CANC_CONTRATO;DATA_CANC_CONTRATO
DATA_EXPED_RG;DATA_EXPED_RG
DATA_NASCIMENTO;DATA_NASCIMENTO
DATA_PRIMEIRA_ADESAO;DATA_PRIMEIRA_ADESAO
DATA_REATIVACAO;DATA_REATIVACAO
DATA_VALID_CARTEIRA;DATA_VALID_CARTEIRA
DATA_GERAC_CARTEIRA;DATA_GERAC_CARTEIRA
DATA_EMISS_CARTEIRA;DATA_EMISS_CARTEIRA
DDD;DDD
EMAIL;EMAIL
ENDERECO;ENDERECO
ESTADO_CIVIL;ESTADO_CIVIL
NUM_PROPOSTA_FAMILIA;NUM_PROPOSTA_FAMILIA
INTERCAMBIO;INTERCAMBIO
SITUACAO_FAMILIA;SITUACAO_FAMILIA
TIPO_RESPONSAVEL;TIPO_RESPONSAVEL
LOTACAO;LOTACAO
MATRICULA_UNICA;MATRICULA_UNICA
MATRIC_BEN_EMPRESA;MATRIC_BEN_EMPRESA
MOTIVO_CANC;MOTIVO_CANC
MOTIVO_INCLUSAO;MOTIVO_INCLUSAO
NACIONALIDADE;NACIONALIDADE
NOME_MAE;NOME_MAE
NUMERO;NUMERO
ORGAO_EMISSOR_RG;ORGAO_EMISSOR_RG
PAIS_RG;PAIS_RG
PISPASEP;PISPASEP
RG_BENEFICIARIO;RG_BENEFICIARIO
SEQUENCIA;SEQUENCIA
SEXO;SEXO
TELEFONE;TELEFONE
CELULAR;CELULAR
TIPO_BENEFICIARIO;TIPO_BENEFICIARIO
TIPO_DEPENDENTE;TIPO_DEPENDENTE
UF;UF
UF_RG;UF_RG
UNI_ORIGEM;UNI_ORIGEM
UNI_DESTINO;UNI_DESTINO
UNI_ORIGEM_RAZAOSOCIAL;UNI_ORIGEM_RAZAOSOCIAL
UNI_DESTINO_RAZAOSOCIAL;UNI_DESTINO_RAZAOSOCIAL
CODIGO_AFINIDADE;CODIGO_AFINIDADE
TIPO_FATURAMENTO_REP;TIPO_FATURAMENTO_REP
UF_UNI_ORIGEM;UF_UNI_ORIGEM
UNI_ORIGEM_CAMARA_COMPENSACAO;UNI_ORIGEM_CAMARA_COMPENSACAO
