"OWNER","TABLE_NAME","COLUMN_NAME","DATA_TYPE","NUM_NULLS","NUM_DISTINCT","TOTAL_REQS","TOTAL_COLUMNS","PERCENT_NULLS"
"DWUNIMED","BN_BENEFICIARIO","ORIGEM","VARCHAR2",0,3,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","IDADE_MAXIMA","NUMBER",71,28,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","CBO","VARCHAR2",0,2681,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","CODIGO_BENEFICIARIO","VARCHAR2",3,5024768,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","CODIGO_FAMILIA","NUMBER",537,858624,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","CODIGO_PLANO","NUMBER",10777,172,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","CODIGO_UNI_PAG","VARCHAR2",3,424,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","CONTRATANTE","VARCHAR2",1,36712,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","CONVENIO","VARCHAR2",104,1,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","CPT","CHAR",0,2,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","BENEFICIARIO","VARCHAR2",5217,3124480,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","DIAS_COMPRA_CARENCIA","NUMBER",21267,1736,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","NAO_TEM_CARENCIA","VARCHAR2",0,2,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","ID_FAMILIA","NUMBER",537,2071680,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","DW_ALT","DATE",0,14756,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","TELEFONE2","VARCHAR2",0,79680,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","CELULAR_CORRESP","VARCHAR2",0,501120,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","DATA_ADESAO","DATE",9,13124,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","DATA_ADESAO_CONTRATO","DATE",1,5890,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","DATA_NASCIMENTO","DATE",10,41792,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","ESTADO_CIVIL","VARCHAR2",14,7,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","ID_BENEFICIARIO","NUMBER",0,5107355,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","ID_CONTRATANTE","NUMBER",1,41976,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","ID_CONTRATANTE_LOT","NUMBER",0,57144,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","ID_PLANO","NUMBER",10777,172,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","INTERCAMBIO","CHAR",1,2,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","SITUACAO_FAMILIA","VARCHAR2",537,3,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","TIPO_RESPONSAVEL","VARCHAR2",277,2,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","ID_RESP_FINANCEIRO","NUMBER",284,378432,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","LOTACAO","VARCHAR2",542,47656,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","SEXO","VARCHAR2",8,3,5107355,149,"       0,00"
