Column,Table
SAM_BENEFICIARIO,HANDLE
SAM_BENEFICIARIO,FAMILIA
SAM_BENEFICIARIO,CONTRATO
SAM_BENEFICIARIO,MATRICULA
SAM_BENEFICIARIO,BENEFICIARIO
SAM_BENEFICIARIO,CODIGODEAFINIDADE
SAM_BENEFICIARIO,CODIGODEORIGEM
SAM_BENEFICIARIO,CODIGOANS
SAM_BENEFICIARIO,DATAADESAO
SAM_BENEFICIARIO,DATAPRIMEIRAADESAO
SAM_BENEFICIARIO,ATENDIMENTOATE
SAM_BENEFICIARIO,DATAULTIMAATUCADASTRAL
SAM_BENEFICIARIO,DATAADAPTACAO
SAM_BENEFICIARIO,IDADEADAPTACAO
SAM_BENEFICIARIO,DIASCOMPRACARENCIA
SAM_BENEFICIARIO,EMAIL
SAM_BENEFICIARIO,SEQUENCIA
SAM_BENEFICIARIO,CCO
SAM_BENEFICIARIO,CCODV
SAM_BENEFICIARIO,K_EMAIL
SAM_BENEFICIARIO,K_TELEFONE1
SAM_BENEFICIARIO,K_TELEFONE2
SAM_BENEFICIARIO,K_EMAILIRIS
SAM_BENEFICIARIO,K_EMAILIW
SAM_BENEFICIARIO,K_TELEFONE1IW
SAM_BENEFICIARIO,K_TELEFONE2IW
SAM_BENEFICIARIO,K_TELEFONE3IW
SAM_BENEFICIARIO,K_TELEFONE4IW
SAM_BENEFICIARIO,K_EMAILSAC
SAM_BENEFICIARIO,K_TELEFONERESSAC
SAM_BENEFICIARIO,K_TELEFONECONTATOSAC
SAM_BENEFICIARIO,K_CELULARSAC
SAM_BENEFICIARIO,Z_NOME
SAM_BENEFICIARIO,NOME
SAM_BENEFICIARIO,NAOTEMCARENCIA
SAM_BENEFICIARIO,SOFREUADAPTACAO
SAM_BENEFICIARIO,TABORIGEM
SAM_BENEFICIARIO,BLOQUEIARECADBIOAUTORIZADORWEB
SAM_BENEFICIARIO,DATACANCELAMENTO
SAM_BENEFICIARIO,MOTIVOCANCELAMENTO
SAM_BENEFICIARIO,MATRICULAFUNCIONAL
SAM_BENEFICIARIO,CBO
SAM_BENEFICIARIO,CONVENIO
SAM_BENEFICIARIO,TIPODEPENDENTE
SAM_BENEFICIARIO,ESTADOCIVIL
SAM_BENEFICIARIO,ENDERECORESIDENCIAL
SAM_BENEFICIARIO,ENDERECOCORRESPONDENCIA
SAM_BENEFICIARIO,ORIGEMCARENCIA
SAM_BENEFICIARIO,MOTIVOINCLUSAO
SAM_CONTRATO,HANDLE
SAM_CONTRATO,CONTRATO
SAM_CONTRATO,CONTRATANTE
SAM_CONTRATO,DATAADESAO
SAM_CONTRATO,DATACANCELAMENTO
SAM_CONTRATO,LOCALFATURAMENTO
SAM_CONTRATO,INTERCAMBIO
SAM_CONTRATO,ESPELHO
SAM_CONTRATO,UNIMEDORIGEM
SAM_CONTRATO,PESSOA
SAM_FAMILIA,HANDLE
SAM_FAMILIA,FAMILIA
SAM_FAMILIA,CONTRATO
SAM_FAMILIA,DATAADESAO
SAM_FAMILIA,DATAVENDA
SAM_FAMILIA,DATAINICIOINATIVIDADE
SAM_FAMILIA,DATACANCELAMENTO
SAM_FAMILIA,DATAINCLUSAO
SAM_FAMILIA,DATAULTIMOREAJUSTE
SAM_FAMILIA,NUMEROPROPOSTA
SAM_FAMILIA,DIACOBRANCA
SAM_FAMILIA,LEIDEMITIDOSAPOSENTADOS
SAM_FAMILIA,COBRANCANOMESSEGUINTE
SAM_FAMILIA,TITULARRESPONSAVEL
SAM_FAMILIA,PESSOARESPONSAVEL
SAM_FAMILIA,LOTACAO
SAM_FAMILIA,USUARIOINCLUSAO
SAM_MATRICULA,HANDLE
SAM_MATRICULA,CPF
SAM_MATRICULA,DATAINGRESSO
SAM_MATRICULA,CARTAONACIONALSAUDE
SAM_MATRICULA,DNV
SAM_MATRICULA,DATAEXPEDICAORG
SAM_MATRICULA,DATANASCIMENTO
SAM_MATRICULA,RG
SAM_MATRICULA,SEXO
SAM_MATRICULA,MATRICULA
