Column,Table
SFN_CONTAFIN_COMPLEMENTO,CONTAFINANCEIRA
SFN_CONTAFIN_COMPLEMENTO,DATAINICIAL
SFN_CONTAFIN_COMPLEMENTO,DATAFINAL
SFN_CONTAFIN_COMPLEMENTO,CONTACORRENTE
SFN_CONTAFIN_COMPLEMENTO,DV
SFN_CONTAFIN_COMPLEMENTO,AGENCIA
SFN_CONTAFIN_COMPLEMENTO,BANCO
SFN_CONTAFIN,PESSOA
SFN_CONTAFIN,HANDLE
SFN_CONTAFIN,TABGERACAOREC
SFN_CONTAFIN,TIPODOCUMENTOREC
SFN_TIPODOCUMENTO,HANDLE
SFN_TIPODOCUMENTO,DESCRICAO
SFN_PESSOA,HANDLE
SFN_PESSOA,ENDERECOCORRESPONDENCIA
SFN_PESSOA,RAMOATIVIDADE
SFN_PESSOA,TABFISICAJURIDICA
SFN_PESSOA,NOME
SFN_PESSOA,CNPJCPF
SFN_PESSOA,DATASAIDA
SFN_PESSOA,DATAENTRADA
SFN_PESSOA,DATANASCIMENTO
SFN_PESSOA,EMAIL
SAM_ENDERECO,HANDLE
SAM_ENDERECO,BAIRRO
SAM_ENDERECO,CEP
SAM_ENDERECO,COMPLEMENTO
SAM_ENDERECO,DDDCELULAR
SAM_ENDERECO,DDD1
SAM_ENDERECO,PREFIXO1
SAM_ENDERECO,NUMERO1
SAM_ENDERECO,PREFIXOCELULAR
SAM_ENDERECO,NUMEROCELULAR
SAM_ENDERECO,LOGRADOURO
SAM_ENDERECO,NUMERO
SAM_ENDERECO,ESTADO
MUNICIPIOS,HANDLE
MUNICIPIOS,NOME
ESTADOS,HANDLE
ESTADOS,SIGLA
SAM_RAMOATIVIDADE,HANDLE
SAM_RAMOATIVIDADE,DESCRICAO
SAM_CONTRATO,HANDLE
SAM_CONTRATO,PESSOA
SAM_FAMILIA,HANDLE
SAM_FAMILIA,CONTRATO
SAM_BENEFICIARIO,HANDLE
SAM_BENEFICIARIO,FAMILIA
