Column,Table
SFN_PESSOA,HANDLE
SFN_PESSOA,CNPJCPF
SFN_PESSOA,NOME
SFN_PESSOA,DATASAIDA
SFN_PESSOA,DATAENTRADA
SFN_PESSOA,DATANASCIMENTO
SFN_PESSOA,EMAIL
SFN_PESSOA,ENDERECOCORRESPONDENCIA
SFN_PESSOA,RAMOATIVIDADE
SFN_PESSOA,TABFISICAJURIDICA
SAM_ENDERECO,BAIRRO
SAM_ENDERECO,CEP
SAM_ENDERECO,COMPLEMENTO
SAM_ENDERECO,DDDCELULAR
SAM_ENDERECO,DDD1
SAM_ENDERECO,LOGRADOURO
SAM_ENDERECO,NUMERO
SAM_ENDERECO,PREFIXOCELULAR
SAM_ENDERECO,PREFIXO1
SAM_ENDERECO,NUMEROCELULAR
SAM_ENDERECO,NUMERO1
MUNICIPIOS,NOME
SFN_CONTAFIN,HANDLE
SFN_CONTAFIN,PESSOA
SFN_CONTAFIN,TIPODOCUMENTOREC
SFN_CONTAFIN,TABGERACAOREC
SFN_CONTAFIN_COMPLEMENTO,CONTAFINANCEIRA
SFN_CONTAFIN_COMPLEMENTO,DATAINICIAL
SFN_CONTAFIN_COMPLEMENTO,DATAFINAL
SFN_CONTAFIN_COMPLEMENTO,CONTACORRENTE
SFN_CONTAFIN_COMPLEMENTO,DV
SFN_CONTAFIN_COMPLEMENTO,FAMILIA
SFN_CONTAFIN_COMPLEMENTO,BANCO
SFN_CONTAFIN_COMPLEMENTO,AGENCIA
SFN_AGENCIA,HANDLE
SFN_AGENCIA,AGENCIA
SFN_BANCO,HANDLE
SFN_BANCO,CODIGO
SFN_TIPODOCUMENTO,HANDLE
SFN_TIPODOCUMENTO,DESCRICAO
SAM_RAMOATIVIDADE,HANDLE
SAM_RAMOATIVIDADE,DESCRICAO
SAM_FAMILIA,HANDLE
SAM_CONTRATO,HANDLE
SAM_BENEFICIARIO,HANDLE
ESTADOS,HANDLE
ESTADOS,SIGLA
