Column,Table
SAM_BENEFICIARIO,HANDLE
SAM_BENEFICIARIO,FAMILIA
SAM_FAMILIA,HANDLE
SAM_FAMILIA,CONTRATO
SAM_FAMILIA,TITULARRESPONSAVEL
SAM_CONTRATO,HANDLE
SAM_BENEFICIARIO,FAMILIA
SAM_BENEFICIARIO,HANDLE
SAM_BENEFICIARIO,MATRICULA
SAM_MATRICULA,HANDLE
SAM_BENEFICIARIO,ENDERECOCORRESPONDENCIA
SAM_ENDERECO,HANDLE
SAM_ENDERECO,BAIRRO
SAM_ENDERECO,CEP
SAM_ENDERECO,COMPLEMENTO
SAM_ENDERECO,DDDCELULAR
SAM_ENDERECO,DDD1
SAM_ENDERECO,DDD1
SAM_ENDERECO,DDD1
SAM_ENDERECO,LOGRADOURO
SAM_ENDERECO,NUMERO
SAM_ENDERECO,MUNICIPIO
MUNICIPIOS,HANDLE
MUNICIPIOS,NOME
SAM_BENEFICIARIO,CBO
SAM_CBO,HANDLE
SAM_CBO,DESCRICAO
SFN_CONTAFIN,HANDLE
SFN_CONTAFIN,BENEFICIARIO
SFN_CONTAFIN,TIPODOCUMENTOREC
SFN_TIPODOCUMENTO,HANDLE
SFN_TIPODOCUMENTO,DESCRICAO
SFN_CONTAFIN_COMPLEMENTO,CONTAFINANCEIRA
SFN_CONTAFIN_COMPLEMENTO,DATAFINAL
SFN_CONTAFIN_COMPLEMENTO,FAMILIA
SFN_CONTAFIN_COMPLEMENTO,DATAINICIAL
ESTADOS,HANDLE
ESTADOS,SIGLA
SAM_BENEFICIARIO,NOME
SAM_BENEFICIARIO,DATACANCELAMENTO
SAM_BENEFICIARIO,DATAADESAO
SAM_MATRICULA,CPF
SAM_MATRICULA,DATANASCIMENTO
SAM_ENDERECO,PREFIXO1
SAM_ENDERECO,NUMERO1
SAM_ENDERECO,PREFIXOCELULAR
SAM_ENDERECO,NUMEROCELULAR
SFN_CONTAFIN_COMPLEMENTO,CONTACORRENTE
SFN_CONTAFIN_COMPLEMENTO,DV
SFN_CONTAFIN,TABGERACAOREC
SFN_CONTAFIN,BENEFICIARIO
SFN_CONTAFIN,HANDLE
SFN_CONTAFIN_COMPLEMENTO,CONTAFINANCEIRA
SFN_CONTAFIN_COMPLEMENTO,DATAINICIAL
SFN_CONTAFIN_COMPLEMENTO,DATAFINAL
SFN_CONTAFIN_COMPLEMENTO,CONTACORRENTE
SFN_CONTAFIN,BENEFICIARIO
SFN_CONTAFIN,HANDLE
SFN_CONTAFIN_COMPLEMENTO,CONTAFINANCEIRA
SFN_CONTAFIN_COMPLEMENTO,DATAINICIAL
SFN_CONTAFIN_COMPLEMENTO,DATAFINAL
SFN_CONTAFIN_COMPLEMENTO,CONTACORRENTE
SFN_CONTAFIN,BENEFICIARIO
SFN_CONTAFIN,HANDLE
SFN_CONTAFIN_COMPLEMENTO,CONTAFINANCEIRA
SFN_CONTAFIN_COMPLEMENTO,DATAINICIAL
SFN_CONTAFIN_COMPLEMENTO,DATAFINAL
SFN_CONTAFIN_COMPLEMENTO,CONTACORRENTE
SFN_CONTAFIN,BENEFICIARIO
SFN_CONTAFIN,HANDLE
SFN_CONTAFIN_COMPLEMENTO,CONTAFINANCEIRA
SFN_CONTAFIN_COMPLEMENTO,DATAINICIAL
SFN_CONTAFIN_COMPLEMENTO,DATAFINAL
SFN_CONTAFIN_COMPLEMENTO,CONTACORRENTE
SFN_CONTAFIN,BENEFICIARIO
SFN_CONTAFIN,HANDLE
SFN_CONTAFIN_COMPLEMENTO,CONTAFINANCEIRA
SFN_CONTAFIN_COMPLEMENTO,DATAINICIAL
SFN_CONTAFIN_COMPLEMENTO,DATAFINAL
SFN_CONTAFIN_COMPLEMENTO,CONTACORRENTE
SFN_CONTAFIN,BENEFICIARIO
SFN_CONTAFIN,HANDLE
SFN_CONTAFIN_COMPLEMENTO,CONTAFINANCEIRA
SFN_CONTAFIN_COMPLEMENTO,DATAINICIAL
