table_name,alias,column_name,column_alias
SAM_BENEFICIARIO,BEN,HANDLE,ID_BENEFICIARIO
SAM_BENEFICIARIO,BEN,FAMILIA,FAMILIA
SAM_BENEFICIARIO,BEN,DATACANCELAMENTO,DATACANCELAMENTO
SAM_BENEFICIARIO,BEN,TABORIGEM,TABORIGEM
SAM_BENEFICIARIO,BEN,MOTIVOCANCELAMENTO,MOTIVOCANCELAMENTO
SAM_BENEFICIARIO,BEN,BENEFICIARIO,CODIGO_UNI_PAG
SAM_BENEFICIARIO,BEN,CODIGODEAFINIDADE,CODIGO_AFINIDADE
SAM_BENEFICIARIO,BEN,BENEFICIARIO,CODIGO_BENEFICIARIO
SAM_BENEFICIARIO,BEN,CODIGODEORIGEM,CODIGO_ORIGEM
SAM_BENEFICIARIO,BEN,CODIGOANS,COD_BENEFICIARIO_ANS
SAM_BENEFICIARIO,BEN,DATAADESAO,DATA_ADESAO
SAM_BENEFICIARIO,BEN,DATAPRIMEIRAADESAO,DATA_PRIM_ADESAO_BENEF
SAM_BENEFICIARIO,BEN,ATENDIMENTOATE,DATA_ATENDIMENTO_ATE
SAM_BENEFICIARIO,BEN,DATAULTIMAATUCADASTRAL,DATA_ULTIMA_ATU_CADASTRAL
SAM_BENEFICIARIO,BEN,DATAADAPTACAO,DATA_ADAPTACAO
SAM_BENEFICIARIO,BEN,IDADEADAPTACAO,IDADE_ADAPTACAO
SAM_BENEFICIARIO,BEN,DIASCOMPRACARENCIA,DIAS_COMPRA_CARENCIA
SAM_BENEFICIARIO,BEN,EMAIL,EMAIL
SAM_BENEFICIARIO,BEN,SEQUENCIA,SEQUENCIA
SAM_BENEFICIARIO,BEN,CCO,CCO
SAM_BENEFICIARIO,BEN,CCODV,CCO_DV
SAM_BENEFICIARIO,BEN,K_EMAIL,K_EMAIL_ZENITE
SAM_BENEFICIARIO,BEN,K_TELEFONE1,K_TELEFONE1_ZENITE
SAM_BENEFICIARIO,BEN,K_TELEFONE2,K_TELEFONE2_ZENITE
SAM_BENEFICIARIO,BEN,K_EMAILIRIS,K_EMAIL_IRIS
SAM_BENEFICIARIO,BEN,K_EMAILIW,K_EMAIL_IW
SAM_BENEFICIARIO,BEN,K_TELEFONE1IW,K_TELEFONE1_IW
SAM_BENEFICIARIO,BEN,K_TELEFONE2IW,K_TELEFONE2_IW
SAM_BENEFICIARIO,BEN,K_TELEFONE3IW,K_TELEFONE3_IW
SAM_BENEFICIARIO,BEN,K_TELEFONE4IW,K_TELEFONE4_IW
SAM_BENEFICIARIO,BEN,K_EMAILSAC,K_EMAIL_SAC
SAM_BENEFICIARIO,BEN,K_TELEFONERESSAC,K_TELEFONE_RES_SAC
SAM_BENEFICIARIO,BEN,K_TELEFONECONTATOSAC,K_TELEFONE_CONTATO_SAC
SAM_BENEFICIARIO,BEN,K_CELULARSAC,K_TELEFONE_CELULAR_SAC
SAM_BENEFICIARIO,BEN,Z_NOME,BENEFICIARIO
SAM_BENEFICIARIO,BEN,NOME,BENEFICIARIO
SAM_BENEFICIARIO,BEN,NAOTEMCARENCIA,NAOTEMCARENCIA
SAM_BENEFICIARIO,BEN,SOFREUADAPTACAO,SOFREU_ADAPTACAO
SAM_BENEFICIARIO,BEN,TABORIGEM,ORIGEM
SAM_BENEFICIARIO,BEN,BLOQUEIARECADBIOAUTORIZADORWEB,BLOQUEAR_RECAD_BIO_AUT_WEB
SAM_BENEFICIARIO,BEN,DATACANCELAMENTO,DATA_CANCELAMENTO
SAM_BENEFICIARIO,BEN,MATRICULAFUNCIONAL,MATRIC_BEN_EMPRESA
SAM_BENEFICIARIO,BEN,MOTIVOINCLUSAO,MOTIVO_INCLUSAO
SAM_BENEFICIARIO,BEN,TABORIGEM,TIPO_BENEFICIARIO
SAM_BENEFICIARIO,BEN,HANDLE,HANDLE_FAMILIA
SAM_BENEFICIARIO,BEN,CONTRATO,HANDLE_CONTRATO
SAM_BENEFICIARIO,BEN,FAMILIA,ANOTACAO_ADM_FAMILIA
SAM_BENEFICIARIO,BEN,BENEFICIARIO,POSSUI_BIOMETRIA
SAM_BENEFICIARIO,BEN,ORIGEMCARENCIA,ORIGEM_CARENCIA
SAM_FAMILIA,FAM,HANDLE,ID_FAMILIA
SAM_FAMILIA,FAM,TITULARRESPONSAVEL,ID_RESP_FINANCEIRO
SAM_FAMILIA,FAM,PESSOARESPONSAVEL,ID_RESP_FINANCEIRO
SAM_FAMILIA,FAM,COBRANCANOMESSEGUINTE,COBRANCA_MES_SEGUINTE
SAM_FAMILIA,FAM,LEIDEMITIDOSAPOSENTADOS,SITUACAO_FAMILIA
SAM_FAMILIA,FAM,FAMILIA,CODIGO_FAMILIA
SAM_FAMILIA,FAM,DATAADESAO,DATA_ADESAO_FAMILIA
SAM_FAMILIA,FAM,DATAVENDA,DATA_VENDA_FAMILIA
SAM_FAMILIA,FAM,DATAINICIOINATIVIDADE,DATA_INICIO_INAT_FAMILIA
SAM_FAMILIA,FAM,DATACANCELAMENTO,DATA_CANCELAMENTO_FAMILIA
SAM_FAMILIA,FAM,DATAINCLUSAO,DATA_INCLUSAO_FAMILIA
SAM_FAMILIA,FAM,DATAULTIMOREAJUSTE,DATA_ULTIMO_REAJUSTE_FAMILIA
SAM_FAMILIA,FAM,NUMEROPROPOSTA,NUM_PROPOSTA_FAMILIA
SAM_FAMILIA,FAM,DIACOBRANCA,DIA_COBRANCA
SAM_FAMILIA,FAM,USUARIOINCLUSAO,USUARIO_INCLUSAO_FAMILIA
SAM_FAMILIA,FAM,HANDLE,HANDLE_FAMILIA
SAM_FAMILIA,FAM,TITULARRESPONSAVEL,HANDLE_TITULARRESPONSAVEL
SAM_FAMILIA,FAM,PESSOARESPONSAVEL,HANDLE_PESSOARESPONSAVEL
SAM_FAMILIA,FAM,LOTACAO,HANDLE_LOTACAO
SAM_FAMILIA,FAM,FAMILIA,ANOTACAO_ADM_FAMILIA
SAM_CONTRATO,CON,HANDLE,ID_CONTRATANTE
SAM_CONTRATO,CON,LOCALFATURAMENTO,ID_RESP_FINANCEIRO
SAM_CONTRATO,CON,ESPELHO,ID_MOTIVO_CANC
SAM_CONTRATO,CON,DATAADESAO,CPT
SAM_CONTRATO,CON,LOCALFATURAMENTO,TIPO_RESPONSAVEL
SAM_CONTRATO,CON,CONTRATO,MATRIC_BEN_EMPRESA
SAM_CONTRATO,CON,UNIMEDORIGEM,TIPO_BENEFICIARIO
SAM_CONTRATO,CON,CONTRATO,CONTRATO
SAM_CONTRATO,CON,CONTRATANTE,CONTRATANTE
SAM_CONTRATO,CON,DATAADESAO,DATA_ADESAO_CONTRATO
SAM_CONTRATO,CON,DATACANCELAMENTO,DATA_CANC_CONTRATO
SAM_CONTRATO,CON,INTERCAMBIO,INTERCAMBIO
SAM_CONTRATO,CON,LOCALFATURAMENTO,LOCAL_FATURAMENTO
SAM_CONTRATO,CON,HANDLE,HANDLE_CONTRATO
SAM_MATRICULA,MAT,CPF,CPF_BENEFICIARIO
SAM_MATRICULA,MAT,DATAINGRESSO,DATA_INGRESSO
SAM_MATRICULA,MAT,CARTAONACIONALSAUDE,CARTAO_NACIONAL_SAUDE
SAM_MATRICULA,MAT,DNV,DNV
SAM_MATRICULA,MAT,DATAEXPEDICAORG,DATA_EXPED_RG
SAM_MATRICULA,MAT,DATANASCIMENTO,DATA_NASCIMENTO
SAM_MATRICULA,MAT,DATAINGRESSO,DATA_PRIMEIRA_ADESAO
SAM_MATRICULA,MAT,RG,RG_BENEFICIARIO
SAM_MATRICULA,MAT,SEXO,SEXO
SAM_MATRICULA,MAT,MATRICULA,MATRICULA_UNICA
SAM_MATRICULA,MAT,ORGAOEMISSOR,ORGAO_EMISSOR_RG
SAM_MATRICULA,MAT,DATAFALECIMENTO,DATA_FALECIMENTO
SAM_MATRICULA,MAT,PISPASEP,PISPASEP
SAM_MATRICULA,MAT,NOMEMAE,NOME_MAE
SAM_CONTRATO_LOTACAO,LOT,HANDLE,ID_CONTRATANTE_LOT
SAM_CONTRATO_LOTACAO,LOT,DESCRICAO,LOTACAO
SAM_CONTRATO_LOTACAO,LOT,PESSOAFATURAMENTO,ID_RESP_FINANCEIRO
PAISES,PAI,GENTILICO,NACIONALIDADE
PAISES,PAIRG,NOME,PAIS_RG
PAISES,PAISRG,CODIGOANS,COD_PAIS_RG_ANS
ESTADOS,ESTRG,SIGLA,UF_RG
SFN_PESSOA,SFNP,HANDLE,ID_RESP_FINANCEIRO
SAM_BENEFICIARIO,FBEN,HANDLE,ID_RESP_FINANCEIRO
SAM_CBO,CBO,ESTRUTURA,CBO
SAM_CBO,CBO,DESCRICAO,CBO
SAM_CONVENIO,CONV,DESCRICAO,CONVENIO
SAM_ESTADOCIVIL,ESTCIV,DESCRICAO,ESTADO_CIVIL
SAM_CONTRATO_TPDEP,CONTTPDEP,IDADEMAXIMA,IDADE_MAXIMA
SAM_TIPODEPENDENTE,TPDEP,DESCRICAO,TIPO_DEPENDENTE
SAM_TIPODEPENDENTE,TPDEP,CODIGOANS,COD_GRAU_DEPEND_ANS
SAM_TIPODEPENDENTE,TPDEP,DESCRICAO,CONTRATO
SAM_MOTIVOCANCELAMENTO,MCAN,CODIGO,ID_MOTIVO_CANC
SAM_MOTIVOCANCELAMENTO,MCAN,DESCRICAO,MOTIVO_CANC
SAM_PLANO,PLA,HANDLE,ID_PLANO
SAM_PLANO,PLA,CODIGO,CODIGO_PLANO
SAM_ENDERECO,ENDR,BAIRRO,BAIRRO
SAM_ENDERECO,ENDR,CEP,CEP
SAM_ENDERECO,ENDR,COMPLEMENTO,COMPLEMENTO
SAM_ENDERECO,ENDR,DDD1,DDD
SAM_ENDERECO,ENDR,LOGRADOURO,ENDERECO
SAM_ENDERECO,ENDR,NUMERO,NUMERO
SAM_ENDERECO,ENDR,DDD2,TELEFONE2
SAM_ENDERECO,ENDR,PREFIXO2,TELEFONE2
SAM_ENDERECO,ENDR,NUMERO2,TELEFONE2
SAM_ENDERECO,ENDR,DDDCELULAR,CELULAR
SAM_ENDERECO,ENDR,PREFIXOCELULAR,CELULAR
SAM_ENDERECO,ENDR,NUMEROCELULAR,CELULAR
SAM_ENDERECO,ENDC,CEP,CEP_CORRESP
SAM_ENDERECO,ENDC,BAIRRO,BAIRRO_CORRESP
SAM_ENDERECO,ENDC,COMPLEMENTO,COMPLEMENTO_CORRESP
SAM_ENDERECO,ENDC,LOGRADOURO,ENDERECO_CORRESP
SAM_ENDERECO,ENDC,NUMERO,NUMERO_CORRESP
SAM_ENDERECO,ENDC,DDD1,TELEFONE1_CORRESP
SAM_ENDERECO,ENDC,PREFIXO1,TELEFONE1_CORRESP
SAM_ENDERECO,ENDC,NUMERO1,TELEFONE1_CORRESP
SAM_ENDERECO,ENDC,DDD2,TELEFONE2_CORRESP
SAM_ENDERECO,ENDC,PREFIXO2,TELEFONE2_CORRESP
SAM_ENDERECO,ENDC,NUMERO2,TELEFONE2_CORRESP
SAM_ENDERECO,ENDC,DDDCELULAR,CELULAR_CORRESP
SAM_ENDERECO,ENDC,PREFIXOCELULAR,CELULAR_CORRESP
SAM_ENDERECO,ENDC,NUMEROCELULAR,CELULAR_CORRESP
K_SAM_BENEFICIARIO_APOIOSAUDE,BAS,UNIMEDEMCASA,UNIMED_EM_CASA
K_SAM_BENEFICIARIO_APOIOSAUDE,BAS,BEMESTARESAUDE,BEM_ESTAR_E_SAUDE
MUNICIPIOS,MUNR,NOME,CIDADE
MUNICIPIOS,MUNR,CODIGOIBGE,CODIGO_IBGE
MUNICIPIOS,MUNC,NOME,CIDADE_CORRESP
ESTADOS,ESTR,SIGLA,UF
ESTADOS,ESTC,SIGLA,UF_CORRESP
