column_name,alias,rule
BEN.HANDLE,ID_BENEFICIARIO,NULL
BEN.FAMILIA,ID_BENEFICIARIO_RESP,"(SELECT MAX(BEN_TIT.HANDLE) FROM   SAM_BENEFICIARIO BEN_TIT WHERE  BEN_TIT.FAMILIA   = BEN.FAMILIA AND    BEN_TIT.EHTITULAR = 'S')"
CON.LOCALFATURAMENTO,ID_RESP_FINANCEIRO,"CASE WHEN CON.LOCALFATURAMENTO = 'C' THEN CPES.HANDLE --CPES WHEN CON.LOCALFATURAMENTO = 'L' THEN LPES.HANDLE --LPES WHEN CON.LOCALFATURAMENTO = 'F' THEN CASE WHEN FAM.TITULARRESPONSAVEL IS NOT NULL THEN FBEN.HANDLE --FBEN WHEN FAM.PESSOARESPONSAVEL  IS NOT NULL THEN SFNP.HANDLE --SFNP END END"
BEN.DATACANCELAMENTO,ID_MOTIVO_CANC,"CASE WHEN BEN.DATACANCELAMENTO < SYSDATE THEN BEN.MOTIVOCANCELAMENTO WHEN MCAN.CODIGO = 101 AND (BEN.TABORIGEM = 3 OR (BEN.TABORIGEM = 2 AND CON.ESPELHO = 'S')) THEN NULL ELSE BEN.MOTIVOCANCELAMENTO END"
LOT.HANDLE,ID_CONTRATANTE_LOT,"NVL(LOT.HANDLE,0)"
BEN.BENEFICIARIO,CODIGO_UNI_PAG,"SUBSTR(BEN.BENEFICIARIO,1,4)"
BEN.Z_NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BEN.NOME,BENEFICIARIO,"NVL(TRIM(BEN.Z_NOME),TRIM(BEN.NOME))"
BEN.NAOTEMCARENCIA,NAO_TEM_CARENCIA,"DECODE(BEN.NAOTEMCARENCIA, 'S','Sim','N','Não')"
BEN.SOFREUADAPTACAO,SOFREU_ADAPTACAO,"DECODE(BEN.SOFREUADAPTACAO, 1,'Não',2,'Sim')"
BEN.TABORIGEM,ORIGEM,"DECODE(BEN.TABORIGEM, 1,'Próprio',2,'Assumido',3,'Assumido-Eventual')"
