Column,Table
HANDLE,SAM_BENEFICIARIO
CONTRATO,SAM_BENEFICIARIO
FAMILIA,SAM_BENEFICIARIO
MATRICULA,SAM_BENEFICIARIO
CODIGODEAFINIDADE,SAM_BENEFICIARIO
BENEFICIARIO,SAM_BENEFICIARIO
CODIGODEORIGEM,SAM_BENEFICIARIO
CODIGOANS,SAM_BENEFICIARIO
DATAADESAO,SAM_BENEFICIARIO
DATAPRIMEIRAADESAO,SAM_BENEFICIARIO
ATENDIMENTOATE,SAM_BENEFICIARIO
DATAULTIMAATUCADASTRAL,SAM_BENEFICIARIO
DATAADAPTACAO,SAM_BENEFICIARIO
IDADEADAPTACAO,SAM_BENEFICIARIO
DIASCOMPRACARENCIA,SAM_BENEFICIARIO
EMAIL,SAM_BENEFICIARIO
SEQUENCIA,SAM_BENEFICIARIO
CCO,SAM_BENEFICIARIO
CCODV,SAM_BENEFICIARIO
K_EMAIL,SAM_BENEFICIARIO
K_TELEFONE1,SAM_BENEFICIARIO
K_TELEFONE2,SAM_BENEFICIARIO
K_EMAILIRIS,SAM_BENEFICIARIO
K_EMAILIW,SAM_BENEFICIARIO
K_TELEFONE1IW,SAM_BENEFICIARIO
K_TELEFONE2IW,SAM_BENEFICIARIO
K_TELEFONE3IW,SAM_BENEFICIARIO
K_TELEFONE4IW,SAM_BENEFICIARIO
K_EMAILSAC,SAM_BENEFICIARIO
K_TELEFONERESSAC,SAM_BENEFICIARIO
K_TELEFONECONTATOSAC,SAM_BENEFICIARIO
K_CELULARSAC,SAM_BENEFICIARIO
NOME,SAM_BENEFICIARIO
NAOTEMCARENCIA,SAM_BENEFICIARIO
SOFREUADAPTACAO,SAM_BENEFICIARIO
TABORIGEM,SAM_BENEFICIARIO
BLOQUEIARECADBIOAUTORIZADORWEB,SAM_BENEFICIARIO
DATACANCELAMENTO,SAM_BENEFICIARIO
MOTIVOCANCELAMENTO,SAM_BENEFICIARIO
MOTIVOINCLUSAO,SAM_BENEFICIARIO
Z_NOME,SAM_BENEFICIARIO
