Column,Table
HANDLE,SAM_BENEFICIARIO
FAMILIA,SAM_BENEFICIARIO
HANDLE,SAM_FAMILIA
CONTRATO,SAM_FAMILIA
HANDLE,SAM_CONTRATO
PESSOA,SAM_CONTRATO
HANDLE,SFN_PESSOA
ENDERECOCORRESPONDENCIA,SFN_PESSOA
RAMOATIVIDADE,SFN_PESSOA
NOME,SFN_PESSOA
DATASAIDA,SFN_PESSOA
DATAENTRADA,SFN_PESSOA
DATANASCIMENTO,SFN_PESSOA
CNPJCPF,SFN_PESSOA
EMAIL,SFN_PESSOA
TABFISICAJURIDICA,SFN_PESSOA
HANDLE,SAM_ENDERECO
BAIRRO,SAM_ENDERECO
CEP,SAM_ENDERECO
COMPLEMENTO,SAM_ENDERECO
DDDCELULAR,SAM_ENDERECO
DDD1,SAM_ENDERECO
PREFIXO1,SAM_ENDERECO
NUMERO1,SAM_ENDERECO
PREFIXOCELULAR,SAM_ENDERECO
NUMEROCELULAR,SAM_ENDERECO
LOGRADOURO,SAM_ENDERECO
NUMERO,SAM_ENDERECO
MUNICIPIO,SAM_ENDERECO
ESTADO,SAM_ENDERECO
HANDLE,MUNICIPIOS
NOME,MUNICIPIOS
HANDLE,ESTADOS
SIGLA,ESTADOS
HANDLE,SAM_RAMOATIVIDADE
DESCRICAO,SAM_RAMOATIVIDADE
HANDLE,SFN_CONTAFIN
PESSOA,SFN_CONTAFIN
TIPODOCUMENTOREC,SFN_CONTAFIN
TABGERACAOREC,SFN_CONTAFIN
HANDLE,SFN_TIPODOCUMENTO
DESCRICAO,SFN_TIPODOCUMENTO
HANDLE,SFN_CONTAFIN_COMPLEMENTO
CONTAFINANCEIRA,SFN_CONTAFIN_COMPLEMENTO
DATAINICIAL,SFN_CONTAFIN_COMPLEMENTO
DATAFINAL,SFN_CONTAFIN_COMPLEMENTO
FAMILIA,SFN_CONTAFIN_COMPLEMENTO
CONTACORRENTE,SFN_CONTAFIN_COMPLEMENTO
AGENCIA,SFN_CONTAFIN_COMPLEMENTO
BANCO,SFN_CONTAFIN_COMPLEMENTO
DV,SFN_CONTAFIN_COMPLEMENTO
HANDLE,SFN_AGENCIA
HANDLE,SFN_BANCO
CODIGO,SFN_BANCO
HANDLE,SFN_CONTAFIN_TIPODOCUMENTO
CONTAFINANCEIRA,SFN_CONTAFIN_TIPODOCUMENTO
