Column,Table
HANDLE,SAM_BENEFICIARIO
FAMILIA,SAM_BENEFICIARIO
HANDLE,SAM_FAMILIA
CONTRATO,SAM_FAMILIA
HANDLE,SAM_CONTRATO
HANDLE,SAM_BENEFICIARIO
MATRICULA,SAM_BENEFICIARIO
ENDERECOCORRESPONDENCIA,SAM_BENEFICIARIO
HANDLE,SAM_MATRICULA
HANDLE,SAM_ENDERECO
MUNICIPIO,SAM_ENDERECO
ESTADO,SAM_ENDERECO
HANDLE,MUNICIPIOS
CBO,SAM_BENEFICIARIO
HANDLE,SAM_CBO
BENEFICIARIO,SFN_CONTAFIN
TIPODOCUMENTOREC,SFN_CONTAFIN
HANDLE,SFN_TIPODOCUMENTO
CONTAFINANCEIRA,SFN_CONTAFIN_COMPLEMENTO
DATAFINAL,SFN_CONTAFIN_COMPLEMENTO
FAMILIA,SFN_CONTAFIN_COMPLEMENTO
BENEFICIARIO,SFN_CONTAFIN
HANDLE,SFN_CONTAFIN
HANDLE,SFN_CONTAFIN_COMPLEMENTO
DATAINICIAL,SFN_CONTAFIN_COMPLEMENTO
DATAFINAL,SFN_CONTAFIN_COMPLEMENTO
CONTAFINANCEIRA,SFN_CONTAFIN_COMPLEMENTO
BENEFICIARIO,SFN_CONTAFIN
HANDLE,SFN_CONTAFIN
CONTACORRENTE,SFN_CONTAFIN_COMPLEMENTO
DATAINICIAL,SFN_CONTAFIN_COMPLEMENTO
DATAFINAL,SFN_CONTAFIN_COMPLEMENTO
CONTAFINANCEIRA,SFN_CONTAFIN_COMPLEMENTO
BENEFICIARIO,SFN_CONTAFIN
HANDLE,SFN_CONTAFIN
CONTAFINANCEIRA,SFN_CONTAFIN_COMPLEMENTO
BENEFICIARIO,SFN_CONTAFIN
HANDLE,SFN_CONTAFIN
TABGERACAOREC,SFN_CONTAFIN
HANDLE,ESTADOS
DATAINICIAL,SFN_CONTAFIN_COMPLEMENTO
HANDLE,SAM_FAMILIA
