Column,Table
BEN,HANDLE
FAM,HANDLE
CON,HANDLE
CLOT,HANDLE
LPES,HANDLE
LPES,TIPO_RESPONSAVEL
LPES,ID_RESP_FINANCEIRO
LPES_ENDC,BAIRRO
LPES_ENDC,CEP
LPES_MUNENDC,NOME
LPES,CNPJ_CPF
LPES_ENDC,COMPLEMENTO
LPES,CONTRAT_PAGADOR_NOME
LPES,DATA_EXCLUSAO
LPES,DATA_INCLUSAO
LPES,DATA_NASCIMENTO
LPES_ENDC,DDD_CELULAR
LPES_ENDC,DDD
LPES_ENDC,DDD_COMERCIAL
LPES,EMAIL
LPES_ENDC,FONE
LPES_ENDC,FONE_CELULAR
LPES_ENDC,FONE_COMERCIAL
LPES_ENDC,LOGRADOURO
LPES_ENDC,NUMERO
LPES,TIPO_COBRANCA
LPES,TIPO_PESSOA
LPES_MUNENDC,UF
RAMATI,DESCRICAO
TIPDOC,DESCRICAO
CFC,DATA_INICIAL_DEBITO_AUT
FAM,HANDLE
SYSDATE,DW_INC
SYSDATE,DW_ALT
CFC,DATA_INICIAL_DEBITO_AUT
MUNICIPIOS,HANDLE
SAM_BENEFICIARIO,HANDLE
SAM_CONTRATO,HANDLE
SAM_CONTRATO_LOTACAO,HANDLE
SAM_ENDERECO,HANDLE
SAM_FAMILIA,HANDLE
SFN_CONTAFIN,HANDLE
SFN_CONTAFIN_COMPLEMENTO,HANDLE
SFN_CONTAFIN_TIPODOCUMENTO,HANDLE
SFN_PESSOA,HANDLE
ESTADOS,HANDLE
