,nome_tabela,nome_coluna
0,sam_beneficiario_mod,handle
1,sam_beneficiario_mod_repasse,beneficiariamo
2,sam_unimed,unimedesi
3,sfn_pessoa,handle
4,sam_beneficiario_cart,beneficioario
5,sam_contrasto_tipo_carteira,tipo_carteira
6,sam_tip,descricao
7,sam_fatura,numero
8,sam_rota,rotinacao
9,sam_rota_cartaodecartao,descricao
10,BEN,HANDLE
11,REATIVACAO,BENEFICIARIO
12,SAM_BENEFICIARIO_MOD_REPASSE,DATAINICIAL
13,SAM_BENEFICIARIO_MOD,BENEFICIARIO
14,SAM_BENEFICIARIO_MOD,DATA_INICIO_REPASSE
15,SIGA.VW_SRA010,RA_TELEFON
16,SIGA.VW_SRA010,RA_EMAIL
17,SIGA.CTT010,CTT_CUSTO
18,SIGA.CTT010,CTT_DESC01
19,SAM_BENEFICIARIO,HANDLE
20,SAM_FAMILIA,FAMILIA
21,SAM_CONTRATO,PESSOA
22,SFN_PESSOA,HANDLE
23,SAM_ENDERECO,ENDERECOCORRESPONDENCIA
24,SAM_RAMOATIVIDADE,RAMOATIVIDADE
25,SFN_CONTAFIN,PESSOA
26,SFN_TIPODOCUMENTO,TIPODOCUMENTOREC
27,SFN_CONTAFIN_COMPLEMENTO,CONTAFINANCEIRA
28,MUNICIPIOS,MUNICIPIO
29,BENEFICIARIO,REATIVACAO
30,CARTIDENTIF,BENEFICIARIO
31,UNIDES,BENEFICIARIO
32,REPASSE,BENEFICIARIO
33,FORT,FAMILIA
34,BAS,BENEFICIARIO
37,SAM_CONTRATO,CONTRATO
46,SAM_FAMILIA,HANDLE
47,SAM_CONTRATO,HANDLE
48,SAM_BENEFICIARIO,TITULARRESPONSAVEL
49,SAM_BENEFICIARIO,MATRICULA
52,SAM_CBO,CBO
53,SFN_CONTAFIN,BENEFICIARIO
54,SFN_TIPODOCUMENTOREC,TIPODOCUMENTOREC
60,SAM_CONTRATO_LOTACAO,PESSOAFATURAMENTO
68,SAM_FAMILIA_TETO_PF,DATAINICIAL
69,SAM_FAMILIA_TETO_PF,DATAFINAL
70,SAM_FAMILIA_TETO_PF,VALORTETOPF
72,SAM_ENDERECO,DDD1
73,SAM_BENEFICIARIO,ENDERECORESIDENCIAL
74,SAM_ENDERECO,PREFIXO1
75,SAM_ENDERECO,NUMERO1
