,nome_tabela,nome_coluna
202,AWE_BIOMETRIA,TIPO
204,AWE_BIOMETRIA,CODIGO
203,AWE_BIOMETRIA,OPERADORA
878,CFC,DATAFINAL
862,CFC,DATAINICIAL
879,CFC,FAMILIA
877,CFC,CONTAFINANCEIRA
876,CONFIN,TIPODOCUMENTOREC
875,CONFIN,PESSOA
338,ESTADOS,HANDLE
99,ESTADOS,SIGLA
394,K_SAM_BENEFICIARIO_APOIOSAUDE,BENEFICIARIO
104,K_SAM_BENEFICIARIO_APOIOSAUDE,UNIMEDEMCASA
105,K_SAM_BENEFICIARIO_APOIOSAUDE,BEMESTARESAUDE
846,LPES,EMAIL
849,LPES,TABFISICAJURIDICA
874,LPES,RAMOATIVIDADE
871,LPES,ENDERECOCORRESPONDENCIA
830,LPES,HANDLE
839,LPES,DATANASCIMENTO
838,LPES,DATAENTRADA
837,LPES,DATASAIDA
836,LPES,NOME
834,LPES,CNPJCPF
831,LPES_ENDC,BAIRRO
832,LPES_ENDC,CEP
844,LPES_ENDC,PREFIXOCELULAR
873,LPES_ENDC,ESTADO
840,LPES_ENDC,DDDCELULAR
841,LPES_ENDC,DDD1
872,LPES_ENDC,MUNICIPIO
848,LPES_ENDC,NUMERO
847,LPES_ENDC,LOGRADOURO
845,LPES_ENDC,NUMEROCELULAR
842,LPES_ENDC,PREFIXO1
843,LPES_ENDC,NUMERO1
835,LPES_ENDC,COMPLEMENTO
833,LPES_MUNENDC,NOME
331,MUNICIPIOS,HANDLE
116,MUNICIPIOS,CODIGOIBGE
115,MUNICIPIOS,NOME
96,PAISES,GENTILICO
98,PAISES,CODIGOANS
334,PAISES,HANDLE
97,PAISES,NOME
851,RAMATI,DESCRICAO
415,SAM_ANOTACAOADMINISTRATIVA,HANDLE
200,SAM_ANOTACAOADMINISTRATIVA,DESCRICAO
756,SAM_BENEFICIARIO,CBO
211,SAM_BENEFICIARIO,CONTRATO
755,SAM_BENEFICIARIO,ENDERECOCORRESPONDENCIA
754,SAM_BENEFICIARIO,MATRICULA
207,SAM_BENEFICIARIO,ORIGEMCARENCIA
180,SAM_BENEFICIARIO,MOTIVOINCLUSAO
173,SAM_BENEFICIARIO,MATRICULAFUNCIONAL
0,SAM_BENEFICIARIO,HANDLE
44,SAM_BENEFICIARIO,Z_NOME
22,SAM_BENEFICIARIO,ATENDIMENTOATE
23,SAM_BENEFICIARIO,DATAULTIMAATUCADASTRAL
24,SAM_BENEFICIARIO,DATAADAPTACAO
25,SAM_BENEFICIARIO,IDADEADAPTACAO
26,SAM_BENEFICIARIO,DIASCOMPRACARENCIA
27,SAM_BENEFICIARIO,EMAIL
28,SAM_BENEFICIARIO,SEQUENCIA
21,SAM_BENEFICIARIO,DATAPRIMEIRAADESAO
29,SAM_BENEFICIARIO,CCO
32,SAM_BENEFICIARIO,K_TELEFONE1
33,SAM_BENEFICIARIO,K_TELEFONE2
34,SAM_BENEFICIARIO,K_EMAILIRIS
35,SAM_BENEFICIARIO,K_EMAILIW
36,SAM_BENEFICIARIO,K_TELEFONE1IW
37,SAM_BENEFICIARIO,K_TELEFONE2IW
45,SAM_BENEFICIARIO,NOME
31,SAM_BENEFICIARIO,K_EMAIL
38,SAM_BENEFICIARIO,K_TELEFONE3IW
30,SAM_BENEFICIARIO,CCODV
49,SAM_BENEFICIARIO,BLOQUEIARECADBIOAUTORIZADORWEB
4,SAM_BENEFICIARIO,FAMILIA
39,SAM_BENEFICIARIO,K_TELEFONE4IW
5,SAM_BENEFICIARIO,EHTITULAR
42,SAM_BENEFICIARIO,K_TELEFONECONTATOSAC
41,SAM_BENEFICIARIO,K_TELEFONERESSAC
10,SAM_BENEFICIARIO,DATACANCELAMENTO
12,SAM_BENEFICIARIO,TABORIGEM
46,SAM_BENEFICIARIO,NAOTEMCARENCIA
14,SAM_BENEFICIARIO,MOTIVOCANCELAMENTO
15,SAM_BENEFICIARIO,BENEFICIARIO
47,SAM_BENEFICIARIO,SOFREUADAPTACAO
18,SAM_BENEFICIARIO,CODIGODEORIGEM
19,SAM_BENEFICIARIO,CODIGOANS
20,SAM_BENEFICIARIO,DATAADESAO
40,SAM_BENEFICIARIO,K_EMAILSAC
16,SAM_BENEFICIARIO,CODIGODEAFINIDADE
43,SAM_BENEFICIARIO,K_CELULARSAC
148,SAM_BENEFICIARIO_CARTAOIDENTIF,DATAEMISSAO
157,SAM_BENEFICIARIO_CARTAOIDENTIF,SITUACAOATUALIZADADOS
150,SAM_BENEFICIARIO_CARTAOIDENTIF,DV
147,SAM_BENEFICIARIO_CARTAOIDENTIF,DATAGERACAO
151,SAM_BENEFICIARIO_CARTAOIDENTIF,VIA
146,SAM_BENEFICIARIO_CARTAOIDENTIF,DATAFINALVALIDADE
145,SAM_BENEFICIARIO_CARTAOIDENTIF,BENEFICIARIO
366,SAM_BENEFICIARIO_CARTAOIDENTIF,FATURA
152,SAM_BENEFICIARIO_CARTAOIDENTIF,DATAINICIALVALIDADE
154,SAM_BENEFICIARIO_CARTAOIDENTIF,VALORFATURADO
156,SAM_BENEFICIARIO_CARTAOIDENTIF,SITUACAO
357,SAM_BENEFICIARIO_CARTAOIDENTIF,HANDLE
369,SAM_BENEFICIARIO_CARTAOIDENTIF,TIPOCARTAO
162,SAM_BENEFICIARIO_CID,BENEFICIARIO
161,SAM_BENEFICIARIO_CID,QTDCPT
163,SAM_BENEFICIARIO_EVENTO,QTDCPT
164,SAM_BENEFICIARIO_EVENTO,BENEFICIARIO
52,SAM_BENEFICIARIO_HISTORICO,DATAATIVACAO
384,SAM_BENEFICIARIO_HISTORICO,ORIGEM
385,SAM_BENEFICIARIO_HISTORICO,BENEFICIARIO
383,SAM_BENEFICIARIO_HISTORICO,HANDLE
377,SAM_BENEFICIARIO_MOD,HANDLE
376,SAM_BENEFICIARIO_MOD,BENEFICIARIO
379,SAM_BENEFICIARIO_MOD_REPASSE,BENEFICIARIOMOD
378,SAM_BENEFICIARIO_MOD_REPASSE,HANDLE
159,SAM_BENEFICIARIO_MOD_REPASSE,DATAINICIAL
108,SAM_BENEFICIARIO_MOD_REPASSE,UNIMEDDESTINO
160,SAM_BENEFICIARIO_MOD_REPASSE,DATAFINAL
165,SAM_BENEFICIARIO_PATOLOGIA,QTDCPT
166,SAM_BENEFICIARIO_PATOLOGIA,BENEFICIARIO
185,SAM_CAMARACOMPENSACAO,DESCRICAO
187,SAM_CAMARACOMPENSACAO,TIPOCAMARA
389,SAM_CAMARACOMPENSACAO,HANDLE
387,SAM_CAMARACOMPENSACAO_PREST,UNIMED
388,SAM_CAMARACOMPENSACAO_PREST,CAMARACOMPENSACAO
313,SAM_CBO,HANDLE
90,SAM_CBO,DESCRICAO
89,SAM_CBO,ESTRUTURA
2,SAM_CONTRATO,HANDLE
6,SAM_CONTRATO,LOCALFATURAMENTO
13,SAM_CONTRATO,ESPELHO
83,SAM_CONTRATO,CONTRATO
85,SAM_CONTRATO,DATAADESAO
86,SAM_CONTRATO,DATACANCELAMENTO
84,SAM_CONTRATO,CONTRATANTE
554,SAM_CONTRATO,UNIMEDORIGEM
58,SAM_CONTRATO,INTERCAMBIO
434,SAM_CONTRATO,PESSOA
870,SAM_CONTRATO_LOTACAO,PESSOAFATURAMENTO
3,SAM_CONTRATO_LOTACAO,HANDLE
87,SAM_CONTRATO_LOTACAO,DESCRICAO
209,SAM_CONTRATO_ORIGEMCARENCIA,ORIGEMCARENCIA
206,SAM_CONTRATO_ORIGEMCARENCIA,HANDLE
370,SAM_CONTRATO_TIPOCARTAO,HANDLE
371,SAM_CONTRATO_TIPOCARTAO,TIPOCARTAO
88,SAM_CONTRATO_TPDEP,IDADEMAXIMA
286,SAM_CONTRATO_TPDEP,HANDLE
343,SAM_CONVENIO,HANDLE
91,SAM_CONVENIO,DESCRICAO
318,SAM_ENDERECO,ESTADO
316,SAM_ENDERECO,HANDLE
317,SAM_ENDERECO,MUNICIPIO
118,SAM_ENDERECO,CEP
127,SAM_ENDERECO,PREFIXOCELULAR
138,SAM_ENDERECO,NUMERO1
126,SAM_ENDERECO,DDDCELULAR
125,SAM_ENDERECO,NUMERO2
124,SAM_ENDERECO,PREFIXO2
123,SAM_ENDERECO,DDD2
122,SAM_ENDERECO,NUMERO
137,SAM_ENDERECO,PREFIXO1
128,SAM_ENDERECO,NUMEROCELULAR
117,SAM_ENDERECO,BAIRRO
119,SAM_ENDERECO,COMPLEMENTO
121,SAM_ENDERECO,LOGRADOURO
120,SAM_ENDERECO,DDD1
345,SAM_ESTADOCIVIL,HANDLE
95,SAM_ESTADOCIVIL,DESCRICAO
107,SAM_FAMILIA,USUARIOINCLUSAO
432,SAM_FAMILIA,CONTRATO
1,SAM_FAMILIA,HANDLE
214,SAM_FAMILIA,LOTACAO
169,SAM_FAMILIA,TITULARRESPONSAVEL
74,SAM_FAMILIA,DATAADESAO
170,SAM_FAMILIA,PESSOARESPONSAVEL
82,SAM_FAMILIA,LEIDEMITIDOSAPOSENTADOS
50,SAM_FAMILIA,COBRANCANOMESSEGUINTE
81,SAM_FAMILIA,DIACOBRANCA
79,SAM_FAMILIA,DATAULTIMOREAJUSTE
78,SAM_FAMILIA,DATAINCLUSAO
